,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Pawan Kumar Sehrawat,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,12.95
2,2.,Naveen Kumar,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,12.8
3,3.,Pardeep Narwal,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,12.55
4,4.,Maninder Singh,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,10.25
5,5.,Siddharth Sirish Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,9.67
6,6.,Vikash Kandola,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,17,9.18
7,7.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,7.3
8,8.,Abhishek Singh,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,18,6.94
9,9.,Pankaj Mohite,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,16,6.88
10,10.,V. Ajith Kumar,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,17,6.69
11,11.,Shrikant Jadhav,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,6.33
12,12.,Rahul Chaudhari,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,20,5.9
13,12.,Rohit Gulia,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,5.9
14,14.,K. Prapanjan,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,18,5.82
15,15.,Chandran Ranjit,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,5.58
16,16.,Sachin Tanwar,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,16,5.25
17,17.,Manjeet,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,20,5.2
18,18.,Rohit Kumar,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,5.18
19,19.,Vinay,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,20,4.85
20,20.,Arjun Deshwal,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,4.75
21,21.,Prashanth Kumar Rai,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,14,4.57
22,22.,Nitin Tomar,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,4.5
23,23.,Ajay Thakur,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,13,4.46
24,24.,Monu Goyat,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,10,4.3
25,24.,Rajnish,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,10,4.3
26,26.,Pawan Kumar Kadian,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,6,4.17
27,27.,Suraj Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,12,4
28,27.,Naveen,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,14,4
29,27.,Emad Sedaghatnia,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,2,4
30,30.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,3.75
31,31.,Jang Kun Lee,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,14,3.71
32,32.,Surender Gill,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,15,3.6
33,33.,Athul MS,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,3.5
34,34.,Sonu Jaglan,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,15,3.47
35,35.,Rishank Devadiga,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,14,3.29
36,36.,Deepak Narwal,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,17,3.24
37,37.,Nilesh Salunke,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,17,3.12
38,38.,Sukesh Hegde,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,13,3.08
39,39.,Rakesh Narwal,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,2,3
40,40.,Rohit Baliyan,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,17,2.88
41,41.,Sushil Gulia,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,7,2.71
42,42.,Amit Kumar,All Rounder,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,6,2.67
43,43.,More GB,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,17,2.53
44,44.,Surender Singh,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,4,2.5
45,45.,Nitin Rawal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,2.46
46,46.,Rakesh Gowda,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,2.44
47,47.,Meraj Sheykh,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,13,2.31
48,48.,Sumit Singh,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,16,2.25
49,49.,Vijay,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,2.22
50,50.,Dong Geon Lee,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,5,2.2
51,51.,Mohammad Esmaeil Maghsoudlou Mahalli,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,18,2.06
52,52.,Gurvinder Singh,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,2,2
53,52.,Victor Onyango Obiero,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,3,2
54,52.,Ankush,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,3,2
55,55.,Selvamani K,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,7,1.83
56,56.,Banty,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,12,1.8
57,57.,Amit Kumar,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,3,1.67
58,58.,Shabeer Bappu,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,14,1.57
59,59.,Azad Singh,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,4,1.5
60,59.,Armaan,All Rounder,https://www.prokabaddi.com/teams/telugu-titans-profile-8,6,1.5
61,61.,Farhad Rahimi Milaghardan,All Rounder,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,1.47
62,62.,Ajinkya Ashok Pawar,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,1.46
63,63.,Amit Kumar,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,1.42
64,64.,Sushant Sail,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,9,1.33
65,65.,Harmanjit Singh,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,4,1.25
66,66.,Anand,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,5,1.2
67,67.,Ankit Beniwal,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,6,1.17
68,68.,Vineet Sharma,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,11,1.13
69,69.,Sandeep Narwal,All Rounder,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,1
70,69.,Darshan Kadian,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,7,1
71,69.,Abolfazl Maghsodloumahali,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,6,1
72,69.,Sachin Narwal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,12,1
73,69.,Aman Kadian,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,3,1
74,74.,Ran Singh,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,19,0.9
75,75.,Surinder Singh,Defender,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,0.8
76,76.,Monu,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,0.79
77,77.,Vinod Kumar,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,9,0.75
78,78.,Vikas Jaglan,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,0.71
79,78.,Ashish,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,7,0.71
80,80.,Purna Singh,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,7,0.67
81,80.,Yashwant Bishnoi,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,3,0.67
82,80.,Palle Mallikarjun,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,3,0.67
83,83.,Mohsen Maghsoudloujafari,All Rounder,https://www.prokabaddi.com/teams/up-yoddha-profile-30,11,0.63
84,84.,Hadi Oshtorak,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,0.57
85,85.,Sumit,"Defender, Left Corner",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,0.5
86,85.,Lalit Chaudhary,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,4,0.5
87,85.,Hemant Chauhan,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,3,0.5
88,88.,Mohit Sehrawat,"Defender, Right Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,13,0.42
89,89.,Manjeet Chhillar,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,15,0.36
90,90.,Dharmaraj Cheralathan,"Defender, Right And Left Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,0.33
91,90.,Amit Kumar,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,0.33
92,90.,Amit,"Defender, Left Cover",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,0.33
93,90.,Hadi Tajik,"Defender, Right Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,12,0.33
94,90.,Ravindra Ramesh Kumawat,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,3,0.33
95,95.,PO Surjeet Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,19,0.25
96,96.,Abozar Mohajermighani,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,0.2
97,96.,Fazel Atrachali,"Defender, Left Corner",https://www.prokabaddi.com/teams/u-mumba-profile-5,20,0.2
98,98.,Ashish Kumar,All Rounder,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,7,0.17
99,98.,Shubham Shinde,"Defender, Right Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,0.17
100,100.,Sunil Kumar,Defender,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,18,0.14
101,101.,Vishal Bhardwaj,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,0
102,101.,Mahender Singh,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,0
103,101.,R. Sriram,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,1,0
104,101.,Sachin Kumar,All Rounder,https://www.prokabaddi.com/teams/up-yoddha-profile-30,12,0
105,101.,Ravi Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,0
106,101.,Krushna Madane,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,0
107,101.,Ankit,Defender,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,8,0
108,101.,Kamal Singh,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,3,0
