,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Sandeep Kumar Dhull,"Defender, Left Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,67
2,2.,Fazel Atrachali,"Defender, Left Corner",https://www.prokabaddi.com/teams/u-mumba-profile-5,20,64
3,3.,Vishal Bhardwaj,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,61
4,3.,Sumit,"Defender, Left Corner",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,61
5,5.,Baldev Singh,"Defender, Right Corner",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,59
6,6.,Ravinder Pahal,"Defender, Right Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,57
7,7.,Rinku Narwal,Defender,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,53
8,8.,Neeraj Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,51
9,8.,PO Surjeet Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,19,51
10,10.,Nitesh Kumar,Defender,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,50
11,11.,Jaideep,"Defender, Left Corner",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,49
12,11.,Mahender Singh,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,49
13,11.,Saurabh Nandal,"Defender, Left Corner",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,19,49
14,14.,Parvesh Bhainswal,"Defender, Left Cover",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,48
15,15.,Sunil,"Defender, Right Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,47
16,16.,Surinder Singh,Defender,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,46
17,16.,Sunil Kumar,Defender,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,18,46
18,16.,Joginder Singh Narwal,"Defender, Left Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,46
19,19.,Amit Sheoran,Defender,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,44
20,20.,Sandeep Narwal,All Rounder,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,43
21,21.,Dharmaraj Cheralathan,"Defender, Right And Left Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,42
22,22.,Ravi Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,41
23,22.,Vishal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,41
24,24.,Hadi Oshtorak,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,39
25,24.,Abozar Mohajermighani,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,39
26,26.,Vikas Kale,"Defender, Right Cover",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,19,38
27,27.,Manjeet Chhillar,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,15,37
28,27.,Mohit Chhillar,"Defender, Right Corner",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,18,37
29,29.,Amit Hooda,"Defender, Right Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,36
30,30.,Jadhav Balasaheb Shahaji,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,18,35
31,31.,Ashu Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,32
32,31.,Jeeva Kumar,"Defender, Right And Left Cover",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,19,32
33,33.,Girish Maruti Ernak,"Defender, Left Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,15,31
34,34.,Anil Kumar,"Defender, Left Cover",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,16,30
35,34.,Ran Singh,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,19,30
36,36.,Farhad Rahimi Milaghardan,All Rounder,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,27
37,36.,Manjeet,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,20,27
38,38.,Monu,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,25
39,38.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,25
40,40.,Vishal Mane,"Defender, Right Cover",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,24
41,41.,Amit,"Defender, Left Cover",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,23
42,42.,More GB,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,17,21
43,42.,C. Arun,"Defender, Left Cover",https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,21
44,42.,Pankaj,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,9,21
45,45.,Amit Kumar,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,20
46,46.,Harendra Kumar,"Defender, Left Cover",https://www.prokabaddi.com/teams/u-mumba-profile-5,18,19
47,46.,Nitin Rawal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,19
48,48.,Shubham Shinde,"Defender, Right Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,17
49,48.,Vikas Jaglan,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,17
50,50.,Hadi Tajik,"Defender, Right Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,12,16
51,51.,Sumit Malik,"Defender, Left Corner",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,14,15
52,51.,Ruturaj Shivaji Koravi,Defender,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,15,15
53,53.,Ajeet,"Defender, Right Cover",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,14,14
54,53.,Pawan Kumar Sehrawat,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,14
55,53.,Sagar B Krishna,All Rounder,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,12,14
56,53.,Santhapanaselvam,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,8,14
57,57.,Sagar,"Defender, Right Corner",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,11,13
58,57.,Ankit,"Defender, Right Corner",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,12,13
59,59.,Pavan T. R.,"Defender, Right Cover",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,12
60,59.,Mohit Sehrawat,"Defender, Right Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,13,12
61,59.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,12
62,62.,Vijay,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,11
63,62.,M. Abishek,"Defender, Right Cover",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,7,11
64,64.,Amit Kumar,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,10
65,65.,Rakesh Gowda,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,9
66,65.,Rohit Gulia,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,9
67,65.,Sunil Siddhgavali,Defender,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,9
68,68.,Kuldeep Singh,Defender,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,10,8
69,68.,Surender Gill,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,15,8
70,68.,Mohammad Esmaeil Maghsoudlou Mahalli,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,18,8
71,68.,Saeid Ghaffari,"Defender, Left Cover",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,9,8
72,68.,Rahul Chaudhari,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,20,8
73,73.,Shabeer Bappu,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,14,7
74,73.,Vineet Sharma,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,11,7
75,73.,Young Chang Ko,"Defender, Left Cover",https://www.prokabaddi.com/teams/u-mumba-profile-5,11,7
76,73.,Viraj Vishnu Landge,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,8,7
77,73.,Sanket Sawant,"Defender, Left Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,5,7
