,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Fazel Atrachali,"Defender, Left Corner",https://www.prokabaddi.com/teams/u-mumba-profile-5,20,60
2,1.,Sandeep Kumar Dhull,"Defender, Left Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,60
3,1.,Sumit,"Defender, Left Corner",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,60
4,4.,Ravinder Pahal,"Defender, Right Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,57
5,5.,Baldev Singh,"Defender, Right Corner",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,54
6,6.,Vishal Bhardwaj,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,52
7,7.,Rinku Narwal,Defender,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,51
8,8.,Neeraj Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,47
9,9.,Jaideep,"Defender, Left Corner",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,46
10,9.,Parvesh Bhainswal,"Defender, Left Cover",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,46
11,9.,PO Surjeet Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,19,46
12,9.,Sunil,"Defender, Right Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,46
13,13.,Saurabh Nandal,"Defender, Left Corner",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,19,44
14,13.,Nitesh Kumar,Defender,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,44
15,13.,Surinder Singh,Defender,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,44
16,16.,Joginder Singh Narwal,"Defender, Left Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,42
17,17.,Mahender Singh,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,41
18,17.,Amit Sheoran,Defender,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,41
