,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Vishal Bhardwaj,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,9
2,2.,Hadi Oshtorak,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,7
3,2.,Sandeep Kumar Dhull,"Defender, Left Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,7
4,2.,Vishal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,7
5,2.,Mahender Singh,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,7
6,2.,Monu,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,7
7,2.,Jadhav Balasaheb Shahaji,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,18,7
8,8.,Nitesh Kumar,Defender,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,6
9,8.,Sunil Kumar,Defender,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,18,6
10,10.,Ravi Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,5
11,10.,PO Surjeet Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,19,5
12,10.,Sandeep Narwal,All Rounder,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,5
13,10.,Baldev Singh,"Defender, Right Corner",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,5
14,10.,Saurabh Nandal,"Defender, Left Corner",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,19,5
15,15.,Neeraj Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,4
16,15.,Nitin Rawal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,4
17,15.,Dharmaraj Cheralathan,"Defender, Right And Left Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,4
18,15.,Joginder Singh Narwal,"Defender, Left Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,4
19,15.,Fazel Atrachali,"Defender, Left Corner",https://www.prokabaddi.com/teams/u-mumba-profile-5,20,4
20,20.,Sagar B Krishna,All Rounder,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,12,3
21,20.,Amit Hooda,"Defender, Right Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,3
22,20.,Girish Maruti Ernak,"Defender, Left Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,15,3
23,20.,C. Arun,"Defender, Left Cover",https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,3
24,20.,Mohit Chhillar,"Defender, Right Corner",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,18,3
25,20.,Rakesh Gowda,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,3
26,20.,Abozar Mohajermighani,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,3
27,20.,Jaideep,"Defender, Left Corner",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,3
28,20.,Sunil Siddhgavali,Defender,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,3
29,20.,Amit Sheoran,Defender,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,3
30,30.,Mohammad Esmaeil Maghsoudlou Mahalli,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,18,2
31,30.,Shubham Shinde,"Defender, Right Corner",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,2
32,30.,Pavan T. R.,"Defender, Right Cover",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,2
33,30.,Mohit Sehrawat,"Defender, Right Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,13,2
34,30.,Rinku Narwal,Defender,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,2
35,30.,Amit,"Defender, Left Cover",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,2
36,30.,Young Chang Ko,"Defender, Left Cover",https://www.prokabaddi.com/teams/u-mumba-profile-5,11,2
37,30.,Surinder Singh,Defender,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,2
38,30.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,2
39,30.,Manjeet Chhillar,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,15,2
40,30.,Vikas Kale,"Defender, Right Cover",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,19,2
41,30.,Amit Kumar,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,9,2
42,30.,Ashish Kumar,All Rounder,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,7,2
43,30.,Parvesh Bhainswal,"Defender, Left Cover",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,2
44,30.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,2
45,30.,Ashu Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,2
46,30.,Ankit,"Defender, Right Corner",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,12,2
47,47.,Sagar,"Defender, Right Corner",https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,11,1
48,47.,Elavarasan A,"Defender, Left Cover",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,3,1
49,47.,Sumit Malik,"Defender, Left Corner",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,14,1
50,47.,Amit Kumar,All Rounder,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,6,1
51,47.,Monu Goyat,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,10,1
52,47.,Sumit Singh,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,16,1
