,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Vishal Bhardwaj,Defender,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,3.39
2,1.,Sumit,"Defender, Left Corner",https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,3.39
3,3.,Sandeep Kumar Dhull,"Defender, Left Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,3.35
4,4.,Fazel Atrachali,"Defender, Left Corner",https://www.prokabaddi.com/teams/u-mumba-profile-5,20,3.2
5,5.,Baldev Singh,"Defender, Right Corner",https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,2.95
6,6.,Vishal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,2.93
7,7.,Ravinder Pahal,"Defender, Right Corner",https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,2.85
8,8.,Mahender Singh,"Defender, Left Cover",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,2.82
9,9.,Nitesh Kumar,Defender,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,2.78
10,10.,PO Surjeet Singh,"Defender, Right Cover",https://www.prokabaddi.com/teams/puneri-paltan-profile-7,19,2.68
11,11.,Rinku Narwal,Defender,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,2.65
12,12.,Sunil,"Defender, Right Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,2.61
13,13.,Saurabh Nandal,"Defender, Left Corner",https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,19,2.58
14,14.,Amit Hooda,"Defender, Right Corner",https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,14,2.57
15,15.,Sunil Kumar,Defender,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,18,2.56
16,16.,Neeraj Kumar,"Defender, Right Cover",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,2.55
17,17.,Manjeet Chhillar,All Rounder,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,15,2.47
18,18.,Jaideep,"Defender, Left Corner",https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,2.45
19,19.,Parvesh Bhainswal,"Defender, Left Cover",https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,2.4
20,20.,Pankaj,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,9,2.33
21,20.,Dharmaraj Cheralathan,"Defender, Right And Left Corner",https://www.prokabaddi.com/teams/haryana-steelers-profile-28,18,2.33
