,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Pawan Kumar Sehrawat,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,266
2,2.,Naveen Kumar,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,256
3,3.,Pardeep Narwal,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,251
4,4.,Maninder Singh,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,205
5,5.,Siddharth Sirish Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,174
6,6.,Vikash Kandola,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,17,157
7,7.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,146
8,8.,Abhishek Singh,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,18,125
9,9.,Rohit Gulia,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,118
10,9.,Rahul Chaudhari,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,20,118
11,11.,Shrikant Jadhav,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,114
12,12.,Pankaj Mohite,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,16,110
13,13.,V. Ajith Kumar,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,17,107
14,14.,Chandran Ranjit,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,106
15,15.,Manjeet,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,20,104
16,16.,K. Prapanjan,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,18,99
17,17.,Vinay,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,20,97
18,18.,Rohit Kumar,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,88
19,19.,Sachin Tanwar,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,16,84
20,20.,Arjun Deshwal,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,76
21,21.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,75
22,22.,Prashanth Kumar Rai,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,14,70
23,23.,Ajay Thakur,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,13,58
24,24.,Naveen,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,15,56
