,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Naveen Kumar,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,213
2,2.,Pawan Kumar Sehrawat,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,209
3,3.,Pardeep Narwal,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,196
4,4.,Maninder Singh,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,171
5,5.,Siddharth Sirish Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,143
6,6.,Vikash Kandola,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,17,122
7,7.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,113
8,8.,Abhishek Singh,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,18,110
9,9.,Rahul Chaudhari,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,20,97
10,10.,Rohit Gulia,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,95
11,11.,V. Ajith Kumar,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,17,89
12,12.,Manjeet,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,20,86
13,13.,Pankaj Mohite,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,16,84
14,14.,Shrikant Jadhav,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,83
15,15.,Chandran Ranjit,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,81
16,16.,K. Prapanjan,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,18,71
17,17.,Rohit Kumar,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,69
18,17.,Vinay,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,20,69
19,19.,Sachin Tanwar,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,16,65
20,20.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,60
21,21.,Arjun Deshwal,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,57
22,22.,Prashanth Kumar Rai,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,14,56
23,23.,Nitin Tomar,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,13,49
24,24.,Ajay Thakur,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,13,47
25,25.,Deepak Narwal,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,17,44
26,26.,Naveen,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,15,43
27,27.,Sonu Jaglan,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,15,42
28,28.,Surender Gill,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,15,41
29,29.,Nilesh Salunke,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,17,40
30,29.,Jang Kun Lee,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,14,40
31,31.,Athul MS,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,39
32,32.,Monu Goyat,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,10,38
33,33.,Rohit Baliyan,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,17,36
34,34.,Rishank Devadiga,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,14,35
35,34.,Suraj Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,12,35
36,34.,More GB,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,17,35
37,37.,Rajnish,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,10,31
38,37.,Vijay,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,31
39,39.,Mohammad Esmaeil Maghsoudlou Mahalli,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,18,28
40,40.,Sumit Singh,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,16,27
41,40.,Sukesh Hegde,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,13,27
42,42.,Nitin Rawal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,23
43,43.,Meraj Sheykh,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,13,22
44,44.,Farhad Rahimi Milaghardan,All Rounder,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,20
